LOG_ID,BDD,USUARIO,IP,PID,FECHA_1,HORA_1,FECHA_Y_HORA,COMANDO,DURACION,RESULTADO
53,prueba,cesar,192.168.1.62,12610,2020-11-25,12:38:44.685,2020-11-25 12:38:44,SELECT,2.190,OK
54,prueba,cesar,192.168.1.62,12610,2020-11-25,12:38:44.717,2020-11-25 12:38:44,SELECT,2.671,OK
55,prueba,cesar,192.168.1.62,12610,2020-11-25,12:39:44.808,2020-11-25 12:39:44,SELECT,1.597,OK
56,prueba,cesar,192.168.1.62,12610,2020-11-25,12:39:44.839,2020-11-25 12:39:44,SELECT,1.906,OK
57,prueba,cesar,192.168.1.62,12610,2020-11-25,12:39:44.872,2020-11-25 12:39:44,SELECT,4.015,OK
58,prueba,cesar,192.168.1.62,12610,2020-11-25,12:39:44.899,2020-11-25 12:39:44,SELECT,1.369,OK
59,prueba,cesar,192.168.1.62,12610,2020-11-25,12:40:44.929,2020-11-25 12:40:44,SELECT,0.590,OK
60,prueba,cesar,192.168.1.62,12610,2020-11-25,12:40:44.960,2020-11-25 12:40:44,SELECT,0.871,OK
61,prueba,cesar,192.168.1.62,12610,2020-11-25,12:40:44.990,2020-11-25 12:40:44,SELECT,0.845,OK
62,prueba,cesar,192.168.1.62,12610,2020-11-25,12:40:45.428,2020-11-25 12:40:44,SELECT,8.591,OK
63,prueba,cesar,192.168.1.62,12610,2020-11-25,12:41:45.817,2020-11-25 12:41:44,SELECT,3.834,OK
64,prueba,cesar,192.168.1.62,12610,2020-11-25,12:41:46.217,2020-11-25 12:41:44,SELECT,0.535,OK
65,prueba,cesar,192.168.1.62,12610,2020-11-25,12:41:46.248,2020-11-25 12:41:44,SELECT,0.447,OK
66,prueba,cesar,192.168.1.62,12610,2020-11-25,12:41:46.279,2020-11-25 12:41:44,SELECT,0.686,OK
67,prueba,cesar,192.168.1.62,12610,2020-11-25,12:41:46.308,2020-11-25 12:41:44,SELECT,0.533,OK
68,prueba,cesar,192.168.1.62,12610,2020-11-25,12:41:46.340,2020-11-25 12:41:44,idle,0.0,OK
69,prueba,cesar,192.168.1.62,12627,2020-11-25,12:42:52.881,2020-11-25 12:27:52,,0.0,OK
